GEOID,Y_CntEst,Y_CntMOE,Y_UniEst,Y_UniMoe,Y_PctEst,Y_PctMOE,Y_Pctile,Y_Score,OA_UniEst,OA_UniMoe,OA_PctEst,OA_PctMOE,OA_CntEst,OA_CntMOE,OA_Pctile,OA_Score,F_CntEst,F_CntMOE,F_UniEst,F_UniMoe,F_PctEst,F_PctMOE,F_Pctile,F_Score,RM_CntEst,RM_CntMOE,RM_UniEst,RM_UniMoe,RM_PctEst,RM_PctMOE,RM_Pctile,RM_Score,EM_CntEst,EM_CntMOE,EM_UniEst,EM_UniMoe,EM_PctEst,EM_PctMOE,EM_Pctile,EM_Score,FB_CntEst,FB_CntMOE,FB_UniEst,FB_UniMoe,FB_PctEst,FB_PctMOE,FB_Pctile,FB_Score,LEP_CntEst,LEP_CntMOE,LEP_UniEst,LEP_UniMoe,LEP_PctEst,LEP_PctMOE,LEP_Pctile,LEP_Score,D_CntEst,D_CntMOE,D_UniEst,D_UniMoe,D_PctEst,D_PctMOE,D_Pctile,D_Score,LI_CntEst,LI_CntMOE,LI_UniEst,LI_UniMoe,LI_PctEst,LI_PctMOE,LI_Pctile,LI_Score,IPD_Score
42101003901,971,369,6076,860,0.16,0.061,0.13,1,6076,860,0.146,0.036,889,158,0.57,2,3407,489,6076,860,0.561,0.052,0.87,3,1841,488,6076,860,0.303,0.08,0.61,2,160,149,6076,860,0.026,0.025,0.3,2,1220,313,6076,860,0.201,0.052,0.88,3,959,274,5610,766,0.171,0.048,0.9,3,628,177,6065,860,0.104,0.034,0.4,2,2522,452,6065,860,0.416,0.075,0.75,3,21
42101003902,749,193,5651,447,0.133,0.034,0.08,1,5651,447,0.187,0.024,1056,141,0.82,3,3017,319,5651,447,0.534,0.039,0.7,2,252,109,5651,447,0.045,0.019,0.08,1,82,96,5651,447,0.015,0.017,0.16,1,242,110,5651,447,0.043,0.019,0.22,1,59,54,5386,418,0.011,0.01,0.16,1,842,194,5651,447,0.149,0.035,0.71,2,765,217,5626,452,0.136,0.039,0.28,1,13
42101004001,458,185,4071,387,0.113,0.045,0.06,0,4071,387,0.171,0.033,696,98,0.73,2,2113,220,4071,387,0.519,0.041,0.53,2,839,220,4071,387,0.206,0.054,0.49,2,290,185,4071,387,0.071,0.045,0.68,2,618,163,4071,387,0.152,0.04,0.79,3,565,149,3878,354,0.146,0.038,0.88,3,725,174,4071,387,0.178,0.049,0.85,3,1551,313,4071,387,0.381,0.077,0.72,2,19
42101004002,871,242,4814,467,0.181,0.05,0.22,1,4814,467,0.206,0.029,992,144,0.87,3,2409,334,4814,467,0.5,0.044,0.31,2,393,287,4814,467,0.082,0.06,0.2,1,334,288,4814,467,0.069,0.06,0.67,2,308,173,4814,467,0.064,0.036,0.39,2,317,225,4631,456,0.068,0.049,0.73,2,884,238,4814,467,0.184,0.045,0.86,3,1441,480,4814,467,0.299,0.1,0.64,2,18
42101004101,1622,388,6807,869,0.238,0.057,0.64,2,6807,869,0.102,0.03,691,182,0.23,1,3036,491,6807,869,0.446,0.044,0.02,0,4347,853,6807,869,0.639,0.125,0.79,3,1092,522,6807,869,0.16,0.077,0.87,3,2390,650,6807,869,0.351,0.095,0.97,4,2290,648,6136,737,0.373,0.083,0.99,4,1160,331,6807,869,0.17,0.043,0.81,3,4947,836,6789,873,0.729,0.123,0.96,4,24
42101004102,2471,510,9288,1020,0.266,0.055,0.81,3,9288,1020,0.092,0.021,854,183,0.17,1,4376,663,9288,1020,0.471,0.052,0.08,1,4756,910,9288,1020,0.512,0.098,0.76,3,1420,938,9288,1020,0.153,0.101,0.86,3,3191,812,9288,1020,0.344,0.087,0.97,4,2655,785,8245,923,0.322,0.083,0.98,4,1369,302,9288,1020,0.147,0.03,0.69,2,5817,957,9288,1020,0.626,0.103,0.9,4,25
42101004201,1002,174,5625,498,0.178,0.031,0.2,1,5625,498,0.122,0.018,689,107,0.38,2,2902,311,5625,498,0.516,0.053,0.49,2,1014,406,5625,498,0.18,0.072,0.44,1,292,195,5625,498,0.052,0.035,0.55,2,377,198,5625,498,0.067,0.035,0.42,2,617,165,5313,484,0.116,0.029,0.85,3,989,301,5625,498,0.176,0.045,0.83,3,2073,551,5625,498,0.369,0.098,0.71,2,18
42101004202,1246,219,5580,495,0.223,0.039,0.52,2,5580,495,0.143,0.031,799,186,0.55,2,3044,297,5580,495,0.546,0.05,0.79,3,1639,482,5580,495,0.294,0.086,0.6,2,366,404,5580,495,0.066,0.072,0.65,2,982,471,5580,495,0.176,0.084,0.85,3,1000,473,5048,490,0.198,0.083,0.92,4,628,200,5389,476,0.117,0.037,0.51,2,2622,598,5389,476,0.487,0.111,0.79,3,23
42101005000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
42101005400,168,69,1303,151,0.129,0.053,0.07,1,1303,151,0.173,0.043,225,56,0.74,2,640,94,1303,151,0.491,0.055,0.22,1,1056,163,1303,151,0.81,0.125,0.86,4,72,53,1303,151,0.055,0.041,0.58,2,226,102,1303,151,0.173,0.078,0.84,3,103,86,1275,139,0.081,0.067,0.77,2,138,38,1289,148,0.107,0.033,0.43,2,248,90,1303,151,0.19,0.069,0.43,2,19
