Class,D_PctEst,EM_PctEst,F_PctEst,FB_PctEst,LEP_PctEst,LI_PctEst,OA_PctEst,RM_PctEst,Y_PctEst
Min,0,0,0,0,0,0,0,0,0
1,4.61,0.001,44.474,0.001,0.001,0.001,5.051,0.001,12.492
2,9.963,2.728,49.266,6.466,2.486,17.894,11.836,18.882,18.526
3,15.315,15.708,54.058,15.179,10.203,38.267,18.621,48.18,24.56
4,20.668,28.687,58.85,23.892,17.921,58.639,25.407,77.479,30.593
Max,41.5,90.6,71.3,63.7,47.9,92.5,69.7,106.777,44.7
